flood_case,source,threshold_key,threshold,n_valid,n_ref_water_excluded,tp,fp,fn,tn,csi,far,hr,cama_date,obs_date
KuroSiwo_1111002,viirs,t05,0.05,21,0,9,10,1,1,0.45,0.5263157894736842,0.9,2020-09-15,2020-09-17
KuroSiwo_1111002,viirs,t10,0.1,21,0,5,11,0,5,0.3125,0.6875,1.0,2020-09-15,2020-09-17
KuroSiwo_1111002,viirs,t25,0.25,21,0,0,7,1,13,0.0,1.0,0.0,2020-09-15,2020-09-17
KuroSiwo_1111002,viirs,t50,0.5,21,0,0,1,0,20,0.0,1.0,nan,2020-09-15,2020-09-17
KuroSiwo_1111002,gfm,t05,0.05,21,0,0,19,0,2,0.0,1.0,nan,2020-09-15,20200915
KuroSiwo_1111002,gfm,t10,0.1,21,0,0,16,0,5,0.0,1.0,nan,2020-09-15,20200915
KuroSiwo_1111002,gfm,t25,0.25,21,0,0,7,0,14,0.0,1.0,nan,2020-09-15,20200915
KuroSiwo_1111002,gfm,t50,0.5,21,0,0,1,0,20,0.0,1.0,nan,2020-09-15,20200915
KuroSiwo_1111002,modis,t05,0.05,0,0,0,0,0,0,nan,nan,nan,2020-09-15,2020-09-15
KuroSiwo_1111002,modis,t10,0.1,0,0,0,0,0,0,nan,nan,nan,2020-09-15,2020-09-15
KuroSiwo_1111002,modis,t25,0.25,0,0,0,0,0,0,nan,nan,nan,2020-09-15,2020-09-15
KuroSiwo_1111002,modis,t50,0.5,0,0,0,0,0,0,nan,nan,nan,2020-09-15,2020-09-15
KuroSiwo_1111003,viirs,t05,0.05,4,0,2,2,0,0,0.5,0.5,1.0,2019-11-27,2019-12-02
KuroSiwo_1111003,viirs,t10,0.1,4,0,2,2,0,0,0.5,0.5,1.0,2019-11-27,2019-12-02
KuroSiwo_1111003,viirs,t25,0.25,4,0,0,0,1,3,0.0,nan,0.0,2019-11-27,2019-12-02
KuroSiwo_1111003,viirs,t50,0.5,4,0,0,0,0,4,nan,nan,nan,2019-11-27,2019-12-02
KuroSiwo_1111003,gfm,t05,0.05,4,0,0,4,0,0,0.0,1.0,nan,2019-11-27,20191127
KuroSiwo_1111003,gfm,t10,0.1,4,0,0,4,0,0,0.0,1.0,nan,2019-11-27,20191127
KuroSiwo_1111003,gfm,t25,0.25,4,0,0,0,0,4,nan,nan,nan,2019-11-27,20191127
KuroSiwo_1111003,gfm,t50,0.5,4,0,0,0,0,4,nan,nan,nan,2019-11-27,20191127
KuroSiwo_1111003,modis,t05,0.05,4,0,0,4,0,0,0.0,1.0,nan,2019-11-27,2019-11-27
KuroSiwo_1111003,modis,t10,0.1,4,0,0,4,0,0,0.0,1.0,nan,2019-11-27,2019-11-27
